filename,team,method,board,score,m_plus,delta_m_plus,m_cross,delta_m_cross,c_plus,delta_c_plus,c_cross,delta_c_cross
/home/jaz/great3-private/server/great3/leaderboard/../../results/megalut-megalut-bonn_megalut_rsv_v3-2013-12-08T11:40:57.448508+00:00.g3,MegaLUT,MegaLUT,real_galaxy-space-variable-post,575.053361869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/megalut-megalut-bonn_megalut_rgv_v3-2013-12-08T17:35:06.684172+00:00.g3,MegaLUT,MegaLUT,real_galaxy-ground-variable-post,153.963271923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_gfit-gfit-epfl_gfit_1_cgv_gbds-2013-12-08T22:52:49.374946+00:00.g3,EPFL_gfit,gfit,control-ground-variable-post,343.885733192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_mlp-mlp-mlp2-2013-12-09T16:20:10.987187+00:00.g3,EPFL_MLP,MLP,control-ground-variable-post,18.6611665047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_gfit-gfit-epfl_gfit_1_cgc_gbds-2013-12-10T06:29:55.542100+00:00.g3,EPFL_gfit,gfit,control-ground-constant-post,1121.60728643,-0.00127900552317,0.00477593175632,0.00074330955847,0.00397515391269,8.46815855063e-05,0.000120544166943,6.31737188757e-05,0.000101265903037
/home/jaz/great3-private/server/great3/leaderboard/../../results/megalut-megalut-bonn_megalut_cgc_v3-2013-12-10T08:29:26.489821+00:00.g3,MegaLUT,MegaLUT,control-ground-constant-post,36.06094561,-0.0633657901334,0.0158332377745,-0.120472993267,0.0130494955808,-0.00113967306832,0.000399629759158,6.56821730394e-05,0.000332432148086
/home/jaz/great3-private/server/great3/leaderboard/../../results/megalut-megalut-bonn_megalut_cgc_v3_bis-2013-12-10T09:11:53.991600+00:00.g3,MegaLUT,MegaLUT,control-ground-constant-post,36.06094561,-0.0633657901334,0.0158332377745,-0.120472993267,0.0130494955808,-0.00113967306832,0.000399629759158,6.56821730394e-05,0.000332432148086
/home/jaz/great3-private/server/great3/leaderboard/../../results/megalut-megalut-bonn_megalut_rgc_v3-2013-12-10T09:21:12.222847+00:00.g3,MegaLUT,MegaLUT,real_galaxy-ground-constant-post,67.2449354463,-0.0554706572379,0.015373207585,-0.0431006401474,0.014342457702,-0.00197853726549,0.000372595868107,0.000533600689561,0.000353797266081
/home/jaz/great3-private/server/great3/leaderboard/../../results/megalut-megalut-bonn_megalut_cgc_v31-2013-12-10T10:27:38.345665+00:00.g3,MegaLUT,MegaLUT,control-ground-constant-post,49.2523324744,-0.029821088564,0.0163704764965,-0.0947096365861,0.0146394616732,-0.0010541809775,0.000413189625063,-0.00049895719461,0.000372936077163
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_ksb-ksb-epfl_ksb_4-2013-12-10T11:02:57.995393+00:00.g3,EPFL_KSB,KSB,control-ground-variable-post,420.830326871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
